scientific.name,scientific.name.new,english.name,english.name.new,deutscher.name,DDA_Kuerzel,western_palearctic,middle_europe,baden_wuerttemberg,bavarian_forest,voslappergroden,neerie,neerie_live,ICE_Werk_live,Ziegenmelker_Zwergohreule_Wallis,eastern_palearctic,Südostasien,Autor,Brutverbreitung,birdnet.names,comName,speciesCode,category,taxonOrder,bandingCodes,comNameCodes,sciNameCodes,order,familyCode,familyComName,familySciName,reportAs,extinct,extinctYear
Charadrius wilsonia,NA,Wilson's Plover,NA,Wilsonregenpfeifer,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Ord, 1814","NA, MA, SA: e Küste, sw USA bis e Brasilien, Peru",Charadrius wilsonia_Wilson's Plover,Wilson's Plover,wilplo,species,5762,WIPL,NA,CHWI,Charadriiformes,charad1,Plovers and Lapwings,Charadriidae,NA,NA,NA
Junco hyemalis,NA,Dark-eyed Junco,NA,Winterammer,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Linnaeus, 1758)","NA: n, w",Junco hyemalis_Dark-eyed Junco,Dark-eyed Junco,daejun,species,32036,DEJU,NA,JUHY,Passeriformes,passer3,New World Sparrows,Passerellidae,NA,NA,NA
Regulus regulus,NA,Goldcrest,NA,Wintergoldhähnchen,Wg,1,1,1,1,1,2,,,1,1,NA,"(Linnaeus, 1758)",PAL: weit verbreitet,Regulus regulus_Goldcrest,Goldcrest,goldcr1,species,25954,NA,GOLD,RERE,Passeriformes,reguli1,Kinglets,Regulidae,NA,NA,NA
Phalaenoptilus nuttallii,NA,Common Poorwill,NA,Winternachtschwalbe,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Audubon, 1844)","NA, MA: sw Kanada bis n Mexiko",Phalaenoptilus nuttallii_Common Poorwill,Common Poorwill,compoo,species,3537,COPO,NA,PHNU,Caprimulgiformes,caprim2,Nightjars and Allies,Caprimulgidae,NA,NA,NA
Troglodytes hiemalis,NA,Winter Wren,NA,Winterzaunkönig,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Vieillot, 1819",NA: Britisch-Kolumbien bis e Kanada s bis Georgia,Troglodytes hiemalis_Winter Wren,Winter Wren,winwre3,species,26385,WIWR,AWWR,TRHI,Passeriformes,troglo1,Wrens,Troglodytidae,NA,NA,NA
Dendrocygna viduata,NA,White-faced Whistling-Duck,NA,Witwenpfeifgans,,0,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Linnaeus, 1766)",NA,Dendrocygna viduata_White-faced Whistling-Duck,White-faced Whistling-Duck,wfwduc1,species,219,WFWD,NA,DEVI,Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,NA,NA,NA
Motacilla aguimp,NA,African Pied Wagtail,NA,Witwenstelze,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Temminck, 1820",AF: weit verbreitet,Motacilla aguimp_African Pied Wagtail,African Pied Wagtail,afpwag1,species,30672,NA,APWA,MOAG,Passeriformes,motaci1,Wagtails and Pipits,Motacillidae,NA,NA,NA
Aphelocoma woodhouseii,NA,Woodhouse's Scrub-Jay,NA,Woodhousehäher,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Baird, SF, 1858)",NA,Aphelocoma woodhouseii_Woodhouse's Scrub-Jay,Woodhouse's Scrub-Jay,wooscj2,species,20515,WOSJ,"WSJ,WSJA",APWO,Passeriformes,corvid1,"Crows, Jays, and Magpies",Corvidae,NA,NA,NA
Parabuteo unicinctus,NA,Harris's Hawk,NA,Wüstenbussard,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Temminck, 1824)","NA, MA, SA: sw USA bis s Argentinien und Chile",Parabuteo unicinctus_Harris's Hawk,Harris's Hawk,hrshaw,species,8032,HASH,HAHA,PAUN,Accipitriformes,accipi1,"Hawks, Eagles, and Kites",Accipitridae,NA,NA,NA
Bucanetes githagineus,NA,Trumpeter Finch,NA,Wüstengimpel,,1,2,2,2,3,NA,,,NA,1,NA,"(Lichtenstein, MHK, 1823)","PAL: sz, auch n Afrika",Bucanetes githagineus_Trumpeter Finch,Trumpeter Finch,trufin2,species,31212,NA,TRFI,BUGI,Passeriformes,fringi1,"Finches, Euphonias, and Allies",Fringillidae,NA,NA,NA
