scientific.name,scientific.name.new,english.name,english.name.new,deutscher.name,DDA_Kuerzel,western_palearctic,middle_europe,baden_wuerttemberg,bavarian_forest,voslappergroden,neerie,neerie_live,ICE_Werk_live,Ziegenmelker_Zwergohreule_Wallis,eastern_palearctic,Südostasien,Autor,Brutverbreitung,birdnet.names,comName,speciesCode,category,taxonOrder,bandingCodes,comNameCodes,sciNameCodes,order,familyCode,familyComName,familySciName,reportAs,extinct,extinctYear
Cacomantis pallidus,NA,Pallid Cuckoo,NA,Blasskuckuck,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Latham, 1801)",AU: Australien,Cacomantis pallidus_Pallid Cuckoo,Pallid Cuckoo,palcuc1,species,3270,NA,PACU,CAPA,Cuculiformes,cuculi1,Cuckoos,Cuculidae,NA,NA,NA
Dicaeum erythrorhynchos,NA,Pale-billed Flowerpecker,NA,Blassschnabel-Mistelfresser,,NA,NA,NA,NA,NA,NA,,,NA,NA,1,"(Latham, 1790)",OR: Himalaja bis Sri Lanka und Myanmar,Dicaeum erythrorhynchos_Pale-billed Flowerpecker,Pale-billed Flowerpecker,pabflo1,species,29021,NA,PBFL,DIER,Passeriformes,dicaei1,Flowerpeckers,Dicaeidae,NA,NA,NA
Iduna pallida,NA,Eastern Olivaceous Warbler,NA,Blassspötter,,1,2,NA,NA,3,NA,,,NA,1,NA,"(Hemprich & Ehrenberg, 1833)","PAL, AF: sz PAL, n AF",Iduna pallida_Eastern Olivaceous Warbler,Eastern Olivaceous Warbler,eaowar1,species,22792,NA,"EOWA,OLWA",IDPA,Passeriformes,acroce2,Reed Warblers and Allies,Acrocephalidae,NA,NA,NA
Aegolius harrisii,NA,Buff-fronted Owl,NA,Blassstirnkauz,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Cassin, 1849)","SA: e, z",Aegolius harrisii_Buff-fronted Owl,Buff-fronted Owl,bufowl1,species,8866,NA,BFOW,AEHA,Strigiformes,strigi1,Owls,Strigidae,NA,NA,NA
Turdus leucops,NA,Pale-eyed Thrush,NA,Blauaugendrossel,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Taczanowski, 1877",SA: Venezuela und Kolumbien bis Bolivien,Turdus leucops_Pale-eyed Thrush,Pale-eyed Thrush,paethr1,species,27609,NA,PETH,TULE,Passeriformes,turdid1,Thrushes and Allies,Turdidae,NA,NA,NA
Chiroxiphia caudata,NA,Swallow-tailed Manakin,NA,Blaubrustpipra,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Shaw, 1793)",NA,Chiroxiphia caudata_Swallow-tailed Manakin,Swallow-tailed Manakin,swtman1,species,15060,NA,"BLMA,STMA",CHCA,Passeriformes,piprid1,Manakins,Pipridae,NA,NA,NA
Cyanopica cooki,NA,Iberian Magpie,NA,Blauelster,,1,NA,NA,NA,NA,NA,,,NA,1,NA,"Bonaparte, 1850",PAL: Iberische Halbinsel,Cyanopica cooki_Iberian Magpie,Iberian Magpie,azwmag3,species,20596,NA,"IAWM,IBMA",CYCO,Passeriformes,corvid1,"Crows, Jays, and Magpies",Corvidae,NA,NA,NA
Anisognathus somptuosus,NA,Blue-winged Mountain-Tanager,NA,Blauflügel-Bergtangare,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Lesson, R, 1831)",NA,Anisognathus somptuosus_Blue-winged Mountain-Tanager,Blue-winged Mountain Tanager,bwmtan1,species,33743,NA,BWMT,ANSO,Passeriformes,thraup2,Tanagers and Allies,Thraupidae,NA,NA,NA
Vermivora cyanoptera,NA,Blue-winged Warbler,NA,Blauflügel-Waldsänger,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Olson & Reveal, 2009","NA: z und ne USA, s Kanada",Vermivora cyanoptera_Blue-winged Warbler,Blue-winged Warbler,buwwar,species,32854,BWWA,NA,VECY,Passeriformes,paruli1,New World Warblers,Parulidae,NA,NA,NA
Spatula discors,NA,Blue-winged Teal,NA,Blauflügelente,,NA,NA,NA,NA,NA,NA,,,NA,1,NA,"(Linnaeus, 1766)","NA: s Kanada, USA",Spatula discors_Blue-winged Teal,Blue-winged Teal,buwtea,species,431,BWTE,NA,SPDI,Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,NA,NA,NA
Thamnomanes schistogynus,NA,Bluish-slate Antshrike,NA,Blaugrau-Ameisenvogel,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Hellmayr, 1911","SA: z Peru, sw Amazonien",Thamnomanes schistogynus_Bluish-slate Antshrike,Bluish-slate Antshrike,blsant1,species,13078,NA,BSAN,THSC,Passeriformes,thamno3,Typical Antbirds,Thamnophilidae,NA,NA,NA
Cyanocitta cristata,NA,Blue Jay,NA,Blauhäher,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Linnaeus, 1758)","NA: z, e",Cyanocitta cristata_Blue Jay,Blue Jay,blujay,species,20496,BLJA,NA,CYCR,Passeriformes,corvid1,"Crows, Jays, and Magpies",Corvidae,NA,NA,NA
Amazona finschi,NA,Lilac-crowned Parrot,NA,Blaukappenamazone,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Sclater, PL, 1864)",NA,Amazona finschi_Lilac-crowned Parrot,Lilac-crowned Parrot,licpar,species,12345,LCPA,LCAM,AMFI,Psittaciformes,psitta3,New World and African Parrots,Psittacidae,NA,NA,NA
Cyanolyca cucullata,NA,Azure-hooded Jay,NA,Blaukappenhäher,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Ridgway, 1885)",MA: weit verbreitet,Cyanolyca cucullata_Azure-hooded Jay,Azure-hooded Jay,azhjay1,species,20402,AHJA,NA,CYCU,Passeriformes,corvid1,"Crows, Jays, and Magpies",Corvidae,NA,NA,NA
Cyornis rubeculoides,NA,Blue-throated Flycatcher,NA,Blaukehl-Blauschnäpper,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Vigors, 1831)",NA,Cyornis rubeculoides_Blue-throated Flycatcher,Blue-throated Flycatcher,butfly1,species,28095,NA,"BTBF,BTFL",CYRU,Passeriformes,muscic3,Old World Flycatchers,Muscicapidae,NA,NA,NA
Sialia mexicana,NA,Western Bluebird,NA,Blaukehl-Hüttensänger,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Swainson, 1832","NA, MA: w NA bis z Mexiko",Sialia mexicana_Western Bluebird,Western Bluebird,wesblu,species,27195,WEBL,NA,SIME,Passeriformes,turdid1,Thrushes and Allies,Turdidae,NA,NA,NA
Luscinia svecica,NA,Bluethroat,NA,Blaukehlchen,Blk,1,1,1,1,1,1,1,,2,1,NA,"(Linnaeus, 1758)","PAL: weit verbreitet, auch w Alaska",Luscinia svecica_Bluethroat,Bluethroat,blueth,species,28419,BLUE,NA,LUSV,Passeriformes,muscic3,Old World Flycatchers,Muscicapidae,NA,NA,NA
Pipile cumanensis,NA,Blue-throated Piping-Guan,NA,Blaukehlguan,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Jacquin, 1784)",NA,Pipile cumanensis_Blue-throated Piping-Guan,Blue-throated Piping-Guan,btpgua1,species,840,NA,"BTTP,BTPG",PICU,Galliformes,cracid2,"Guans, Chachalacas, and Curassows",Cracidae,NA,NA,NA
Lampornis clemenciae,NA,Blue-throated Mountain-gem,NA,Blaukehlnymphe,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Lesson, R, 1830)",NA,Lampornis clemenciae_Blue-throated Mountain-gem,Blue-throated Mountain-gem,buthum,species,4640,BTMG,"BTHU,BTMO",LACL,Caprimulgiformes,trochi1,Hummingbirds,Trochilidae,NA,NA,NA
Dacnis cayana,NA,Blue Dacnis,NA,Blaukopfpitpit,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Linnaeus, 1766)","MA, SA: Honduras bis ne Argentinien",Dacnis cayana_Blue Dacnis,Blue Dacnis,bludac1,species,34008,BLDA,NA,DACA,Passeriformes,thraup2,Tanagers and Allies,Thraupidae,NA,NA,NA
Thalurania glaucopis,NA,Violet-capped Woodnymph,NA,Blaukronennymphe,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Gmelin, JF, 1788)","SA: se Brasilien bis e Paraguay, ne Argentinien und n",Thalurania glaucopis_Violet-capped Woodnymph,Violet-capped Woodnymph,vicwoo2,species,4847,NA,VCWO,THGL,Caprimulgiformes,trochi1,Hummingbirds,Trochilidae,NA,NA,NA
Cyanistes caeruleus,NA,Eurasian Blue Tit,NA,Blaumeise,Bm,1,1,1,1,1,1,,,1,1,NA,"(Linnaeus, 1758)","PAL: w, z",Cyanistes caeruleus_Eurasian Blue Tit,Eurasian Blue Tit,blutit,species,21306,NA,EBTI,CYCA,Passeriformes,parida1,"Tits, Chickadees, and Titmice",Paridae,NA,NA,NA
Monticola solitarius,NA,Blue Rock-Thrush,NA,Blaumerle,,1,1,NA,NA,NA,NA,,,NA,1,NA,"(Linnaeus, 1758)",NA,Monticola solitarius_Blue Rock-Thrush,Blue Rock-Thrush,burthr,species,28657,NA,"BRTH,BLRT",MOSO,Passeriformes,muscic3,Old World Flycatchers,Muscicapidae,NA,NA,NA
Polioptila caerulea,NA,Blue-gray Gnatcatcher,NA,Blaumückenfänger,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Linnaeus, 1766)",NA,Polioptila caerulea_Blue-gray Gnatcatcher,Blue-gray Gnatcatcher,buggna,species,26211,BGGN,NA,POCA,Passeriformes,poliop1,Gnatcatchers,Polioptilidae,NA,NA,NA
Larvivora cyane,NA,Siberian Blue Robin,NA,Blaunachtigall,,3,3,NA,NA,NA,NA,,,NA,1,NA,"(Pallas, 1776)",PAL: e,Larvivora cyane_Siberian Blue Robin,Siberian Blue Robin,sibrob,species,28405,SBRO,NA,LACY,Passeriformes,muscic3,Old World Flycatchers,Muscicapidae,NA,NA,NA
Entomyzon cyanotis,NA,Blue-faced Honeyeater,NA,Blauohr-Honigfresser,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Latham, 1801)","AU: sz Neuguinea, n, e Australien",Entomyzon cyanotis_Blue-faced Honeyeater,Blue-faced Honeyeater,blfhon1,species,17426,NA,"BFHO,BFQH",ENCY,Passeriformes,meliph3,Honeyeaters,Meliphagidae,NA,NA,NA
Coracias garrulus,NA,European Roller,NA,Blauracke,Blr,1,2,2,2,NA,NA,,,NA,1,NA,"Linnaeus, 1758","PAL: w, z",Coracias garrulus_European Roller,European Roller,eurrol1,species,9871,NA,EURO,COGA,Coraciiformes,coraci1,Rollers,Coraciidae,NA,NA,NA
Egretta caerulea,NA,Little Blue Heron,NA,Blaureiher,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Linnaeus, 1758)","NA, MA, SA: se USA bis s Brasilien",Egretta caerulea_Little Blue Heron,Little Blue Heron,libher,species,7233,LBHE,NA,EGCA,Pelecaniformes,ardeid1,"Herons, Egrets, and Bitterns",Ardeidae,NA,NA,NA
Leptotila verreauxi,NA,White-tipped Dove,NA,Blauringtaube,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Bonaparte, 1855","MA, SA: weit verbreitet",Leptotila verreauxi_White-tipped Dove,White-tipped Dove,whtdov,species,2282,WTDO,NA,LEVE,Columbiformes,columb2,Pigeons and Doves,Columbidae,NA,NA,NA
Buthraupis montana,NA,Hooded Mountain-Tanager,NA,Blaurücken-Bergtangare,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(d'Orbigny & Lafresnaye, 1837)",NA,Buthraupis montana_Hooded Mountain-Tanager,Hooded Mountain Tanager,homtan1,species,33697,NA,"HOMT,HMTA",BUMO,Passeriformes,thraup2,Tanagers and Allies,Thraupidae,NA,NA,NA
Setophaga caerulescens,NA,Black-throated Blue Warbler,NA,Blaurücken-Waldsänger,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Gmelin, JF, 1789)",NA: ne,Setophaga caerulescens_Black-throated Blue Warbler,Black-throated Blue Warbler,btbwar,species,33023,BTBW,NA,SECA,Passeriformes,paruli1,New World Warblers,Parulidae,NA,NA,NA
Chlorophonia occipitalis,NA,Blue-crowned Chlorophonia,NA,Blauscheitelorganist,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Du Bus de Gisignies, 1847)",MA: Mexiko bis Nicaragua,Chlorophonia occipitalis_Blue-crowned Chlorophonia,Blue-crowned Chlorophonia,blcchl1,species,30947,BCRC,BCCH,CHOC,Passeriformes,fringi1,"Finches, Euphonias, and Allies",Fringillidae,NA,NA,NA
Lepidothrix coronata,NA,Blue-crowned Manakin,NA,Blauscheitelpipra,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(von Spix, 1825)","MA, SA: Costa Rica bis nw Ecuador, w Amazonien",Lepidothrix coronata_Blue-crowned Manakin,Blue-crowned Manakin,blcman1,species,15085,BCRM,BCMA,LECO,Passeriformes,piprid1,Manakins,Pipridae,NA,NA,NA
Trogon curucui,NA,Blue-crowned Trogon,NA,Blauscheiteltrogon,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Linnaeus, 1766","SA: z, e",Trogon curucui_Blue-crowned Trogon,Blue-crowned Trogon,blctro1,species,9056,NA,BCTR,TRCU,Trogoniformes,trogon1,Trogons,Trogonidae,NA,NA,NA
Tarsiger cyanurus,NA,Red-flanked Bluetail,NA,Blauschwanz,,1,2,NA,NA,3,NA,,,NA,1,NA,"(Pallas, 1773)",PAL: n Eurasien von Finnland bis Japan,Tarsiger cyanurus_Red-flanked Bluetail,Red-flanked Bluetail,refblu,species,28494,RFBL,"RFB,OFBR",TACY,Passeriformes,muscic3,Old World Flycatchers,Muscicapidae,NA,NA,NA
Merops philippinus,NA,Blue-tailed Bee-eater,NA,Blauschwanzspint,,NA,NA,NA,NA,NA,NA,,,NA,1,1,"Linnaeus, 1767","OR, AU: Indien und Sri Lanka bis s China, se Asien,",Merops philippinus_Blue-tailed Bee-eater,Blue-tailed Bee-eater,btbeat1,species,9859,NA,BTBE,MEPH,Coraciiformes,meropi1,Bee-eaters,Meropidae,NA,NA,NA
Melanotis caerulescens,NA,Blue Mockingbird,NA,Blauspottdrossel,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Swainson, 1827)",MA: Mexiko,Melanotis caerulescens_Blue Mockingbird,Blue Mockingbird,blumoc,species,27060,BLMO,NA,MECA,Passeriformes,mimida2,Mockingbirds and Thrashers,Mimidae,NA,NA,NA
Galbula cyanescens,NA,Bluish-fronted Jacamar,NA,Blaustirn-Glanzvogel,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Deville, 1849",SA: w Amazonien,Galbula cyanescens_Bluish-fronted Jacamar,Bluish-fronted Jacamar,blfjac1,species,10049,NA,BFJA,GACY,Galbuliformes,galbul2,Jacamars,Galbulidae,NA,NA,NA
Amazona aestiva,NA,Turquoise-fronted Parrot,NA,Blaustirnamazone,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Linnaeus, 1758)",NA,Amazona aestiva_Turquoise-fronted Parrot,Turquoise-fronted Parrot,bufpar,species,12375,NA,"TFPA,TFAM",AMAE,Psittaciformes,psitta3,New World and African Parrots,Psittacidae,NA,NA,NA
Andigena hypoglauca,NA,Gray-breasted Mountain-Toucan,NA,Blautukan,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Gould, 1833)",NA,Andigena hypoglauca_Gray-breasted Mountain-Toucan,Gray-breasted Mountain-Toucan,gybmot1,species,10393,NA,GBMT,ANHY,Piciformes,rampha1,Toucans,Ramphastidae,NA,NA,NA
Setophaga cerulea,NA,Cerulean Warbler,NA,Blauwaldsänger,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Wilson, A, 1810)","NA: se Kanada, nz und ne USA",Setophaga cerulea_Cerulean Warbler,Cerulean Warbler,cerwar,species,32953,CERW,CEWA,SECE,Passeriformes,paruli1,New World Warblers,Parulidae,NA,NA,NA
Psilopogon asiaticus,NA,Blue-throated Barbet,NA,Blauwangen-Bartvogel,,NA,NA,NA,NA,NA,NA,,,NA,2,1,"(Latham, 1790)","OR: ne Pakistan bis z Vietnam, Myanmar",Psilopogon asiaticus_Blue-throated Barbet,Blue-throated Barbet,bltbar2,species,10300,NA,BTBA,PSAS,Piciformes,megala2,Asian Barbets,Megalaimidae,NA,NA,NA
Merops persicus,NA,Blue-cheeked Bee-eater,NA,Blauwangenspint,,1,2,NA,NA,NA,NA,,,NA,1,NA,"Pallas, 1773","PAL: sw, nw AF",Merops persicus_Blue-cheeked Bee-eater,Blue-cheeked Bee-eater,bcbeat1,species,9853,NA,BCBE,MEPE,Coraciiformes,meropi1,Bee-eaters,Meropidae,NA,NA,NA
Aulacorhynchus sulcatus,NA,Groove-billed Toucanet,NA,Blauzügelarassari,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Swainson, 1820)","SA: ne Kolumbien, n Venezuela",Aulacorhynchus sulcatus_Groove-billed Toucanet,Groove-billed Toucanet,grbtou1,species,10377,NA,"GBBT,GBTO",AUSU,Piciformes,rampha1,Toucans,Ramphastidae,NA,NA,NA
Thamnomanes caesius,NA,Cinereous Antshrike,NA,Bleiameisenvogel,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Temminck, 1820)","SA: Amazonien, e,se Brasilien",Thamnomanes caesius_Cinereous Antshrike,Cinereous Antshrike,cinant1,species,13072,NA,CIAN,THCA,Passeriformes,thamno3,Typical Antbirds,Thamnophilidae,NA,NA,NA
Myrmelastes hyperythrus,NA,Plumbeous Antbird,NA,Bleigrau-Ameisenvogel,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Sclater, PL, 1855)","SA: w, sw Amazonien",Myrmelastes hyperythrus_Plumbeous Antbird,Plumbeous Antbird,pluant1,species,13396,NA,PLAN,MYHY,Passeriformes,thamno3,Typical Antbirds,Thamnophilidae,NA,NA,NA
Aulacorhynchus haematopygus,NA,Crimson-rumped Toucanet,NA,Blutbürzelarassari,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Gould, 1835)",SA: w Venezuela bis e Ecuador,Aulacorhynchus haematopygus_Crimson-rumped Toucanet,Crimson-rumped Toucanet,crrtou1,species,10387,NA,CRTO,AUHA,Piciformes,rampha1,Toucans,Ramphastidae,NA,NA,NA
Dryobates affinis,Veniliornis affinis,Red-stained Woodpecker,NA,Blutflügelspecht,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"SA: Amazonien, e Brasilien",Dryobates affinis_Red-stained Woodpecker,Red-stained Woodpecker,reswoo1,species,10992,NA,RSWO,DRAF,Piciformes,picida1,Woodpeckers,Picidae,NA,NA,NA
Melanerpes lewis,NA,Lewis's Woodpecker,NA,Blutgesichtspecht,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Gray, GR, 1849)",NA: sw Kanada bis sw USA,Melanerpes lewis_Lewis's Woodpecker,Lewis's Woodpecker,lewwoo,species,10651,LEWO,NA,MELE,Piciformes,picida1,Woodpeckers,Picidae,NA,NA,NA
Linaria cannabina,NA,Eurasian Linnet,NA,Bluthänfling,Hä,1,1,1,1,1,2,,,1,1,NA,"(Linnaeus, 1758)",NA,Linaria cannabina_Eurasian Linnet,Eurasian Linnet,eurlin1,species,31412,NA,"EULI,COLI",LICA,Passeriformes,fringi1,"Finches, Euphonias, and Allies",Fringillidae,NA,NA,NA
Piranga bidentata,NA,Flame-colored Tanager,NA,Blutkardinal,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Swainson, 1827",MA: w Mexiko bis Panama,Piranga bidentata_Flame-colored Tanager,Flame-colored Tanager,flctan,species,33309,FCTA,NA,PIBI,Passeriformes,cardin1,Cardinals and Allies,Cardinalidae,NA,NA,NA
Oriolus traillii,NA,Maroon Oriole,NA,Blutpirol,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Vigors, 1832)",OR: Südostasien,Oriolus traillii_Maroon Oriole,Maroon Oriole,marori2,species,18939,NA,MAOR,ORTR,Passeriformes,orioli1,Old World Orioles,Oriolidae,NA,NA,NA
Dendrocopos syriacus,NA,Syrian Woodpecker,NA,Blutspecht,,1,2,NA,NA,NA,NA,,,NA,1,NA,"(Hemprich & Ehrenberg, 1833)",PAL: se Europa bis s Iran,Dendrocopos syriacus_Syrian Woodpecker,Syrian Woodpecker,syrwoo1,species,10865,NA,SYWO,DESY,Piciformes,picida1,Woodpeckers,Picidae,NA,NA,NA
Telophorus zeylonus,NA,Bokmakierie,NA,Bokmakiriwürger,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Linnaeus, 1766)",AF: s,Telophorus zeylonus_Bokmakierie,Bokmakierie,bokmak1,species,19382,NA,BOKM,TEZE,Passeriformes,malaco2,Bushshrikes and Allies,Malaconotidae,NA,NA,NA
Chroicocephalus philadelphia,NA,Bonaparte's Gull,NA,Bonapartemöwe,,2,2,NA,NA,NA,NA,,,NA,NA,NA,"(Ord, 1815)",NA: sw Alaska bis se Kanada,Chroicocephalus philadelphia_Bonaparte's Gull,Bonaparte's Gull,bongul,species,6267,BOGU,NA,CHPH,Charadriiformes,larida1,"Gulls, Terns, and Skimmers",Laridae,NA,NA,NA
Myiothlypis luteoviridis,NA,Citrine Warbler,NA,Bonapartewaldsänger,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Bonaparte, 1845)",SA: Venezuela bis n Bolivien,Myiothlypis luteoviridis_Citrine Warbler,Citrine Warbler,citwar1,species,33160,NA,"CWSP,CIWA",MYLU,Passeriformes,paruli1,New World Warblers,Parulidae,NA,NA,NA
Ninox boobook,NA,Southern Boobook,NA,Boobookkauz,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Latham, 1801)",NA,Ninox boobook_Southern Boobook,Southern Boobook,souboo8,species,8883,NA,"SOBO,AUBO",NIBO,Strigiformes,strigi1,Owls,Strigidae,NA,NA,NA
Quiscalus major,NA,Boat-tailed Grackle,NA,Bootschwanzgrackel,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Vieillot, 1819","NA: e, se USA",Quiscalus major_Boat-tailed Grackle,Boat-tailed Grackle,botgra,species,32757,BTGR,NA,QUMA,Passeriformes,icteri1,Troupials and Allies,Icteridae,NA,NA,NA
Trochalopteron lineatum,NA,Streaked Laughingthrush,NA,Borstenhäherling,,NA,NA,NA,NA,NA,NA,,,NA,1,1,"(Vigors, 1831)",PAL: e Usbekistan bis n Pakistan,Trochalopteron lineatum_Streaked Laughingthrush,Streaked Laughingthrush,strlau1,species,25540,NA,STLA,TRLI,Passeriformes,leioth1,Laughingthrushes and Allies,Leiothrichidae,NA,NA,NA
Anthus campestris,NA,Tawny Pipit,NA,Brachpieper,Brp,1,1,1,1,2,2,,,2,1,NA,"(Linnaeus, 1758)","PAL, AF: w Europa bis w Mongolei und s bis nw Afrika,",Anthus campestris_Tawny Pipit,Tawny Pipit,tawpip1,species,30767,NA,TAPI,ANCA,Passeriformes,motaci1,Wagtails and Pipits,Motacillidae,NA,NA,NA
Numenius arquata,NA,Eurasian Curlew,NA,Brachvogel,,NA,NA,NA,NA,NA,NA,,,NA,1,NA,"(Linnaeus, 1758)","PAL: z, w",Numenius arquata_Eurasian Curlew,Eurasian Curlew,eurcur,species,5869,EUCU,NA,NUAR,Charadriiformes,scolop2,Sandpipers and Allies,Scolopacidae,NA,NA,NA
Athene brama,NA,Spotted Owlet,NA,Brahmakauz,,NA,NA,NA,NA,NA,NA,,,NA,2,NA,"(Temminck, 1821)","OR, PAL: s Iran bis Südostasien",Athene brama_Spotted Owlet,Spotted Owlet,spoowl1,species,8665,NA,SPOW,ATBR,Strigiformes,strigi1,Owls,Strigidae,NA,NA,NA
Haliastur indus,NA,Brahminy Kite,NA,Brahmanenmilan,,NA,NA,NA,NA,NA,NA,,,NA,2,1,"(Boddaert, 1783)","OR, AU: Pakistan bis n Australien",Haliastur indus_Brahminy Kite,Brahminy Kite,brakit1,species,7961,NA,BRKI,HAIN,Accipitriformes,accipi1,"Hawks, Eagles, and Kites",Accipitridae,NA,NA,NA
Tadorna tadorna,NA,Common Shelduck,NA,Brandgans,Brg,1,1,2,2,1,2,,,3,1,NA,"(Linnaeus, 1758)","PAL, AF: w Europa bis ne China",Tadorna tadorna_Common Shelduck,Common Shelduck,comshe,species,381,COMS,COSH,TATA,Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,NA,NA,NA
Thalasseus sandvicensis,NA,Sandwich Tern,NA,Brandseeschwalbe,Bss,1,1,2,2,1,2,,,3,1,NA,"(Latham, 1787)","PAL, AF: n Europa bis Mittelmeerraum, Schwarzes und",Thalasseus sandvicensis_Sandwich Tern,Sandwich Tern,santer1,species,6561,SATE,NA,THSA,Charadriiformes,larida1,"Gulls, Terns, and Skimmers",Laridae,NA,NA,NA
Strix hylophila,NA,Rusty-barred Owl,NA,Brasilkauz,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Temminck, 1825","SA: se Brasilien, e Paraguay und ne Argentinien",Strix hylophila_Rusty-barred Owl,Rusty-barred Owl,rubowl2,species,8781,NA,RBOW,STHY,Strigiformes,strigi1,Owls,Strigidae,NA,NA,NA
Ramphocelus bresilius,Ramphocelus bresilia,Brazilian Tanager,NA,Brasiltangare,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,SA: Brasilien,Ramphocelus bresilius_Brazilian Tanager,Brazilian Tanager,bratan1,species,33662,NA,BRTA,RABR,Passeriformes,thraup2,Tanagers and Allies,Thraupidae,NA,NA,NA
Glaucidium brasilianum,NA,Ferruginous Pygmy-Owl,NA,Brasilzwergkauz,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Gmelin, JF, 1788)",NA,Glaucidium brasilianum_Ferruginous Pygmy-Owl,Ferruginous Pygmy-Owl,fepowl,species,8602,FEPO,FPOW,GLBR,Strigiformes,strigi1,Owls,Strigidae,NA,NA,NA
Eumomota superciliosa,NA,Turquoise-browed Motmot,NA,Brauenmotmot,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Sandbach, 1837)","MA: se Mexiko, s Mexiko bis nw Costa Rica",Eumomota superciliosa_Turquoise-browed Motmot,Turquoise-browed Motmot,tubmot1,species,9379,TBMO,NA,EUSU,Coraciiformes,momoti1,Motmots,Momotidae,NA,NA,NA
Acrocephalus bistrigiceps,NA,Black-browed Reed Warbler,NA,Brauenrohrsänger,,NA,NA,NA,NA,NA,NA,,,NA,1,NA,"Swinhoe, 1860",PAL: e Mongolei snd se Russland bis e China und Japan,Acrocephalus bistrigiceps_Black-browed Reed Warbler,Black-browed Reed Warbler,bbrwar1,species,22813,NA,BBRW,ACBI,Passeriformes,acroce2,Reed Warblers and Allies,Acrocephalidae,NA,NA,NA
Leiothlypis peregrina,NA,Tennessee Warbler,NA,Brauenwaldsänger,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Wilson, A, 1811)",NA: se Alaska und nw Kanada bis se Kanada und ne,Leiothlypis peregrina_Tennessee Warbler,Tennessee Warbler,tenwar,species,32869,TEWA,NA,LEPE,Passeriformes,paruli1,New World Warblers,Parulidae,NA,NA,NA
Campylorhynchus griseus,NA,Bicolored Wren,NA,Brauenzaunkönig,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Swainson, 1838)",SA: n,Campylorhynchus griseus_Bicolored Wren,Bicolored Wren,bicwre1,species,26514,BIWR,NA,CAGR,Passeriformes,troglo1,Wrens,Troglodytidae,NA,NA,NA
